33	1	144
40	2	830
21	2	992
39	1	673
55	2	470
38	1	913
44	2	962
43	1	484
39	2	500
22	2	524
42	1	22
50	2	500
55	1	913
25	1	451
39	2	313
39	1	2
27	2	476
51	2	422
47	1	476
17	1	526
18	2	476
33	1	734
36	2	230
49	1	913
41	1	553
42	2	330
47	2	512
48	1	700
59	2	472
29	1	470
27	2	341
48	2	540
74	1	20
72	2	476
44	2	471
47	1	232
51	2	200
54	2	470
51	1	913
58	2	472
60	2	570
39	2	401
17	2	415
17	2	472
39	1	714
34	2	214
57	1	154
57	1	52
58	2	570
29	2	474
46	2	423
50	1	962
56	1	422
65	1	626
64	2	402
59	2	1
33	1	770
35	1	84
31	2	512
74	1	485
25	2	584
56	2	284
60	1	204
29	1	865
74	1	392
61	1	913
32	1	623
58	2	401
31	1	325
28	2	231
74	2	570
62	1	640
60	2	231
37	2	402
47	1	720
32	1	972
27	1	962
47	2	570
29	2	472
62	1	485
42	1	354
41	1	913
38	2	402
18	2	494
56	2	101
56	1	106
23	2	540
26	1	770
48	2	313
20	2	526
49	1	865
54	2	476
55	1	476
31	1	392
69	1	815
21	2	992
24	2	570
59	1	306
59	1	770
26	2	313
32	1	14
28	2	554
41	1	903
45	2	71
47	1	770
23	2	470
16	2	425
22	2	472
66	1	770
58	1	552
57	2	570
40	1	623
50	1	21
48	2	263
37	1	586
24	2	80
27	1	421
59	1	1
65	1	485
60	2	512
45	1	500
77	1	913
52	1	561
42	2	470
28	1	913
28	1	983
29	2	350
65	1	94
33	1	896
32	1	62
32	2	233
43	2	365
16	1	992
50	1	962
32	2	350
35	1	624
37	1	5
63	1	836
61	2	470
68	1	913
53	1	635
44	2	470
28	1	500
31	1	721
30	2	570
43	2	570
46	1	720
48	2	53
51	1	562
61	1	531
29	2	62
32	1	385
31	1	231
37	1	306
32	2	305
36	1	814
35	2	850
37	1	646
45	2	62
43	1	874
35	1	102
34	2	500
49	1	290
47	2	215
35	2	360
57	2	570
34	2	411
17	1	405
62	1	43
38	1	635
38	2	430
31	2	313
29	2	351
56	2	570
48	2	472
43	2	401
26	2	380
26	1	913
24	2	496
36	1	736
41	2	500
60	1	913
37	2	570
43	1	375
38	2	962
18	2	992
53	1	470
52	2	524
18	1	562
35	1	306
32	2	35
25	1	586
72	2	313
65	1	806
62	1	826
53	2	570
44	1	814
46	2	23
53	1	23
19	1	425
58	2	476
61	1	484
65	2	570
38	2	263
37	1	43
42	2	552
42	1	644
20	2	360
44	2	484
53	1	350
39	1	153
24	2	231
25	2	830
35	1	422
36	2	666
16	1	402
64	1	770
61	2	350
43	2	472
50	1	733
49	2	244
47	1	644
48	2	313
18	1	476
41	1	865
37	2	411
45	1	496
44	2	822
21	2	570
20	2	570
18	2	422
39	2	512
43	2	470
79	2	220
33	2	832
40	1	626
29	1	623
36	2	460
67	1	80
75	2	350
47	1	770
45	2	570
16	1	605
20	2	586
60	1	21
51	2	775
49	1	913
22	1	960
46	2	423
29	2	313
36	1	53
50	1	2
55	2	832
25	2	460
43	2	350
40	1	551
35	2	570
18	2	472
37	2	365
59	1	803
44	2	476
56	2	360
46	1	461
19	2	472
76	2	313
59	1	143
59	2	570
